serial,ad_name,ad_set_name,amount_spent,max_roas,scroll_stop_30,hook_hold_rate_40,hold_rate_20,frequency,reach,results,result_rate,cpr,cpc,ctr,3_sec_video,25_play,50_play,75_play,100_play
1,ad_id_662,ad_set_034,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
2,ad_id_1598,ad_set_114,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
3,ad_id_1412,ad_set_010,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
4,ad_id_369,ad_set_007,40.48,0.0,45.17,43.34,19.58,1.26,675,0,0.0,0.0,1.56,3.07,383,208,134,101,59
5,ad_id_239,ad_set_010,41.96,0.0,50.0,41.39,20.69,1.31,728,0,0.0,0.0,1.23,3.57,476,251,157,125,75
6,ad_id_961,ad_set_093,59.51,0.74,50.64,39.91,20.21,1.25,1061,1,7.51,59.51,1.24,3.61,674,334,215,174,116
7,ad_id_94,ad_set_028,42.72,0.0,47.87,41.62,19.92,1.29,804,0,0.0,0.0,1.38,3.0,495,266,168,134,80
8,ad_id_589,ad_set_025,40.58,0.0,41.03,43.97,18.04,1.23,840,0,0.0,0.0,0.97,4.07,423,230,139,113,74
9,ad_id_887,ad_set_093,40.66,0.0,44.81,41.41,18.55,1.17,734,0,0.0,0.0,1.51,3.15,384,195,123,92,64
10,ad_id_659,ad_set_025,0.33,0.0,15.0,33.33,5.0,2.0,10,0,0.0,0.0,0.33,5.0,3,1,1,1,1
11,ad_id_1638,ad_set_041,0.76,0.0,31.11,28.57,8.89,1.29,35,0,0.0,0.0,0.0,0.0,14,6,1,1,1
12,ad_id_1105,ad_set_113,1.26,0.0,28.57,31.82,9.09,1.51,51,0,0.0,0.0,0.42,3.9,22,9,7,5,3
13,ad_id_1003,ad_set_062,128.88,1.67,47.9,38.49,18.43,1.26,2989,4,10.58,32.22,1.05,3.25,1811,897,555,448,267
14,ad_id_886,ad_set_013,120.81,3.27,39.45,45.91,18.11,1.22,2837,8,23.03,15.1,0.93,3.74,1370,756,483,375,242
15,ad_id_402,ad_set_004,100.33,2.66,47.41,34.88,16.53,1.26,2896,5,13.71,20.07,0.96,2.88,1729,798,482,378,230
16,ad_id_972,ad_set_088,1.47,0.0,39.51,37.5,14.81,1.21,67,0,0.0,0.0,0.49,3.7,32,16,11,11,7
17,ad_id_1389,ad_set_092,3.13,0.0,34.4,62.79,21.6,1.32,95,0,0.0,0.0,0.78,3.2,43,31,19,13,11
18,ad_id_1313,ad_set_021,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
19,ad_id_1609,ad_set_029,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
20,ad_id_1355,ad_set_068,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
21,ad_id_164,ad_set_118,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
22,ad_id_1253,ad_set_016,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
23,ad_id_630,ad_set_021,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
