ad_name,amount_spent,max_roas,result_rate_(%),scroll_stop_(%),hook_rate_(%),hold_rate_(%),ctr,cpr,cpc
ad_id_174,125.38,3.22,41.72,35.17,42.97,15.12,3.95,9.64,1.02
ad_id_1635,518.19,2.26,30.29,33.21,42.08,13.97,3.45,11.27,0.99
ad_id_1345,526.1,2.84,29.73,32.99,49.09,16.19,4.34,15.47,1.06
ad_id_803,577.88,2.28,29.5,32.47,42.02,13.64,3.23,11.79,1.08
ad_id_26,396.76,2.16,28.56,29.97,40.97,12.28,2.9,11.02,1.09
ad_id_645,600.88,2.22,26.7,30.95,39.65,12.27,3.99,12.78,0.85
ad_id_794,995.09,2.15,26.68,33.5,42.69,14.3,4.26,15.31,0.96
ad_id_886,120.81,3.27,23.03,39.45,45.91,18.11,3.74,15.1,0.93
ad_id_383,2189.77,2.39,22.85,32.27,48.93,15.79,4.74,19.55,0.94
ad_id_1529,1350.04,2.42,21.62,47.55,35.45,16.85,3.5,11.25,0.69
